Timestamp: 2021-11-03 19:12:17.761657 | ProcessId: validator_4 | Action: Initial configuration | Object: {'nvalidators': 7, 'nfaulty': 2, 'nclients': 6, 'nclientops': 9, 'sleeptime': 1, 'clienttimeout': 10, 'delta': 4, 'window_size': 5, 'exclude_size': 3, 'failure_config': FailureConfig(failures=[Failure(src='_', dest='leader', msg_type=<MsgType.Vote: 4>, round=2, prob=1, fail_type=<FailType.MsgLoss: 1>, val=None, attr=None), Failure(src='_', dest='_', msg_type=<MsgType.Timeout: 3>, round=2, prob=0.25, fail_type=<FailType.MsgLoss: 1>, val=None, attr=None)], seed=637713655)} |
Timestamp: 2021-11-03 19:12:50.962006 | ProcessId: validator_4 | Event: Received | MsgType: Proposal | From: validator_4 | Msg: {'block': {'author': 4, 'round': 15, 'payload': [{'req_id': '1_1', 'command': '1-1', 'client': [7195121133307942633162770, 1, {}, '', '', '127.0.0.1', [11443, 39113]]}], 'qc': {'vote_info': {'id': [53, 52, 51, 101, 99, 57, 53, 102, 52, 100, 54, 98, 57, 49, 52, 102, 51, 99, 48, 48, 55, 100, 100, 56, 51, 54, 55, 48, 50, 51, 48, 54, 52, 50, 48, 50, 49, 100, 101, 99, 101, 51, 48, 57, 49, 98, 101, 57, 54, 55, 51, 49, 101, 50, 54, 49, 100, 100, 101, 48, 100, 97, 52, 56], 'round': 14, 'parent_id': [48, 54, 55, 57, 99, 54, 101, 99, 51, 54, 101, 101, 98, 99, 97, 49, 57, 56, 98, 100, 52, 97, 56, 49, 56, 53, 48, 50, 102, 50, 55, 53, 48, 50, 52, 50, 49, 57, 53, 55, 49, 98, 57, 55, 50, 51, 97, 102, 99, 55, 98, 97, 53, 56, 52, 50, 49, 97, 55, 52, 50, 99, 49, 97], 'parent_round': 13, 'exec_state_id': [100, 57, 57, 101, 57, 97, 98, 100, 49, 51, 101, 100, 99, 56, 51, 53, 54, 57, 101, 53, 55, 98, 98, 100, 97, 101, 55, 98, 51, 55, 100, 50, 99, 56, 100, 49, 49, 54, 53, 57, 99, 49, 49, 54, 97, 57, 55, 99, 49, 55, 53, 54, 53, 98, 98, 48, 51, 54, 48, 50, 57, 99, 99, 56]}, 'ledger_commit_info': {'commit_state_id': [56, 51, 97, 102, 56, 52, 99, 97, 102, 51, 53, 52, 55, 57, 52, 51, 54, 97, 53, 57, 99, 55, 101, 97, 54, 48, 55, 54, 99, 54, 100, 97, 101, 52, 49, 100, 100, 100, 98, 97, 50, 49, 97, 57, 52, 52, 51, 49, 101, 56, 49, 53, 49, 97, 101, 98, 98, 50, 55, 54, 57, 97, 55, 50], 'vote_info_hash': [54, 53, 50, 57, 98, 49, 49, 101, 57, 50, 102, 56, 48, 50, 48, 101, 102, 54, 50, 48, 48, 102, 101, 57, 100, 50, 97, 97, 48, 101, 53, 54, 48, 55, 51, 102, 100, 48, 55, 54, 48, 49, 101, 55, 55, 56, 97, 49, 52, 48, 101, 51, 56, 52, 50, 56, 56, 56, 102, 102, 51, 56, 99, 99]}, 'signatures': [{}, {}, {}, {}, {}], 'author': 4, 'signers': [4, 0, 6, 2, 3], 'author_signature': {}}, 'id': [99, 100, 50, 102, 52, 100, 101, 102, 50, 57, 99, 49, 50, 50, 99, 51, 48, 100, 51, 99, 55, 49, 55, 57, 48, 101, 50, 48, 50, 51, 56, 54, 98, 55, 102, 57, 97, 55, 52, 102, 56, 50, 101, 51, 51, 49, 52, 56, 53, 55, 97, 52, 48, 97, 99, 55, 52, 100, 102, 52, 51, 101, 102, 100], 'author_signature': {}}, 'last_round_tc': None, 'high_commit_qc': {'vote_info': {'id': [53, 52, 51, 101, 99, 57, 53, 102, 52, 100, 54, 98, 57, 49, 52, 102, 51, 99, 48, 48, 55, 100, 100, 56, 51, 54, 55, 48, 50, 51, 48, 54, 52, 50, 48, 50, 49, 100, 101, 99, 101, 51, 48, 57, 49, 98, 101, 57, 54, 55, 51, 49, 101, 50, 54, 49, 100, 100, 101, 48, 100, 97, 52, 56], 'round': 14, 'parent_id': [48, 54, 55, 57, 99, 54, 101, 99, 51, 54, 101, 101, 98, 99, 97, 49, 57, 56, 98, 100, 52, 97, 56, 49, 56, 53, 48, 50, 102, 50, 55, 53, 48, 50, 52, 50, 49, 57, 53, 55, 49, 98, 57, 55, 50, 51, 97, 102, 99, 55, 98, 97, 53, 56, 52, 50, 49, 97, 55, 52, 50, 99, 49, 97], 'parent_round': 13, 'exec_state_id': [100, 57, 57, 101, 57, 97, 98, 100, 49, 51, 101, 100, 99, 56, 51, 53, 54, 57, 101, 53, 55, 98, 98, 100, 97, 101, 55, 98, 51, 55, 100, 50, 99, 56, 100, 49, 49, 54, 53, 57, 99, 49, 49, 54, 97, 57, 55, 99, 49, 55, 53, 54, 53, 98, 98, 48, 51, 54, 48, 50, 57, 99, 99, 56]}, 'ledger_commit_info': {'commit_state_id': [56, 51, 97, 102, 56, 52, 99, 97, 102, 51, 53, 52, 55, 57, 52, 51, 54, 97, 53, 57, 99, 55, 101, 97, 54, 48, 55, 54, 99, 54, 100, 97, 101, 52, 49, 100, 100, 100, 98, 97, 50, 49, 97, 57, 52, 52, 51, 49, 101, 56, 49, 53, 49, 97, 101, 98, 98, 50, 55, 54, 57, 97, 55, 50], 'vote_info_hash': [54, 53, 50, 57, 98, 49, 49, 101, 57, 50, 102, 56, 48, 50, 48, 101, 102, 54, 50, 48, 48, 102, 101, 57, 100, 50, 97, 97, 48, 101, 53, 54, 48, 55, 51, 102, 100, 48, 55, 54, 48, 49, 101, 55, 55, 56, 97, 49, 52, 48, 101, 51, 56, 52, 50, 56, 56, 56, 102, 102, 51, 56, 99, 99]}, 'signatures': [{}, {}, {}, {}, {}], 'author': 4, 'signers': [4, 0, 6, 2, 3], 'author_signature': {}}, 'sender': 4, 'signature': {}}
Timestamp: 2021-11-03 19:12:50.962592 | ProcessId: validator_4 | Action: Verified ProposalMsg signature | Object: True |
Timestamp: 2021-11-03 19:12:50.964479 | ProcessId: validator_4 | Event: Sent | MsgType: Vote | To: validator_0 | Msg: {'vote_info': {'id': [99, 100, 50, 102, 52, 100, 101, 102, 50, 57, 99, 49, 50, 50, 99, 51, 48, 100, 51, 99, 55, 49, 55, 57, 48, 101, 50, 48, 50, 51, 56, 54, 98, 55, 102, 57, 97, 55, 52, 102, 56, 50, 101, 51, 51, 49, 52, 56, 53, 55, 97, 52, 48, 97, 99, 55, 52, 100, 102, 52, 51, 101, 102, 100], 'round': 15, 'parent_id': [53, 52, 51, 101, 99, 57, 53, 102, 52, 100, 54, 98, 57, 49, 52, 102, 51, 99, 48, 48, 55, 100, 100, 56, 51, 54, 55, 48, 50, 51, 48, 54, 52, 50, 48, 50, 49, 100, 101, 99, 101, 51, 48, 57, 49, 98, 101, 57, 54, 55, 51, 49, 101, 50, 54, 49, 100, 100, 101, 48, 100, 97, 52, 56], 'parent_round': 14, 'exec_state_id': [56, 102, 57, 56, 55, 49, 97, 52, 54, 57, 101, 54, 48, 101, 55, 48, 102, 54, 48, 100, 101, 56, 54, 99, 100, 51, 48, 51, 97, 97, 56, 100, 57, 48, 100, 97, 99, 100, 101, 56, 97, 53, 99, 101, 99, 97, 54, 55, 53, 48, 55, 99, 97, 57, 98, 54, 101, 99, 102, 51, 50, 97, 100, 48]}, 'ledger_commit_info': {'commit_state_id': [100, 57, 57, 101, 57, 97, 98, 100, 49, 51, 101, 100, 99, 56, 51, 53, 54, 57, 101, 53, 55, 98, 98, 100, 97, 101, 55, 98, 51, 55, 100, 50, 99, 56, 100, 49, 49, 54, 53, 57, 99, 49, 49, 54, 97, 57, 55, 99, 49, 55, 53, 54, 53, 98, 98, 48, 51, 54, 48, 50, 57, 99, 99, 56], 'vote_info_hash': [55, 49, 97, 52, 57, 57, 49, 97, 53, 101, 50, 50, 50, 55, 101, 98, 101, 100, 55, 51, 51, 49, 54, 53, 52, 102, 100, 55, 55, 102, 57, 99, 52, 52, 54, 50, 48, 57, 52, 100, 99, 49, 56, 48, 53, 52, 98, 52, 100, 55, 55, 52, 48, 102, 100, 98, 54, 56, 53, 57, 49, 54, 53, 49]}, 'high_commit_qc': {'vote_info': {'id': [53, 52, 51, 101, 99, 57, 53, 102, 52, 100, 54, 98, 57, 49, 52, 102, 51, 99, 48, 48, 55, 100, 100, 56, 51, 54, 55, 48, 50, 51, 48, 54, 52, 50, 48, 50, 49, 100, 101, 99, 101, 51, 48, 57, 49, 98, 101, 57, 54, 55, 51, 49, 101, 50, 54, 49, 100, 100, 101, 48, 100, 97, 52, 56], 'round': 14, 'parent_id': [48, 54, 55, 57, 99, 54, 101, 99, 51, 54, 101, 101, 98, 99, 97, 49, 57, 56, 98, 100, 52, 97, 56, 49, 56, 53, 48, 50, 102, 50, 55, 53, 48, 50, 52, 50, 49, 57, 53, 55, 49, 98, 57, 55, 50, 51, 97, 102, 99, 55, 98, 97, 53, 56, 52, 50, 49, 97, 55, 52, 50, 99, 49, 97], 'parent_round': 13, 'exec_state_id': [100, 57, 57, 101, 57, 97, 98, 100, 49, 51, 101, 100, 99, 56, 51, 53, 54, 57, 101, 53, 55, 98, 98, 100, 97, 101, 55, 98, 51, 55, 100, 50, 99, 56, 100, 49, 49, 54, 53, 57, 99, 49, 49, 54, 97, 57, 55, 99, 49, 55, 53, 54, 53, 98, 98, 48, 51, 54, 48, 50, 57, 99, 99, 56]}, 'ledger_commit_info': {'commit_state_id': [56, 51, 97, 102, 56, 52, 99, 97, 102, 51, 53, 52, 55, 57, 52, 51, 54, 97, 53, 57, 99, 55, 101, 97, 54, 48, 55, 54, 99, 54, 100, 97, 101, 52, 49, 100, 100, 100, 98, 97, 50, 49, 97, 57, 52, 52, 51, 49, 101, 56, 49, 53, 49, 97, 101, 98, 98, 50, 55, 54, 57, 97, 55, 50], 'vote_info_hash': [54, 53, 50, 57, 98, 49, 49, 101, 57, 50, 102, 56, 48, 50, 48, 101, 102, 54, 50, 48, 48, 102, 101, 57, 100, 50, 97, 97, 48, 101, 53, 54, 48, 55, 51, 102, 100, 48, 55, 54, 48, 49, 101, 55, 55, 56, 97, 49, 52, 48, 101, 51, 56, 52, 50, 56, 56, 56, 102, 102, 51, 56, 99, 99]}, 'signatures': [{}, {}, {}, {}, {}, {}, {}], 'author': 4, 'signers': [4, 0, 6, 2, 3, 1, 5], 'author_signature': {}}, 'sender': 4, 'signature': {}}
Timestamp: 2021-11-03 19:12:50.982795 | ProcessId: validator_4 | Event: Received | MsgType: Proposal | From: validator_0 | Msg: {'block': {'author': 0, 'round': 16, 'payload': [{'req_id': '4_5', 'command': '4-5', 'client': [7195121133593815656384532, 1, {}, '', '', '127.0.0.1', [46534, 54109]]}], 'qc': {'vote_info': {'id': [99, 100, 50, 102, 52, 100, 101, 102, 50, 57, 99, 49, 50, 50, 99, 51, 48, 100, 51, 99, 55, 49, 55, 57, 48, 101, 50, 48, 50, 51, 56, 54, 98, 55, 102, 57, 97, 55, 52, 102, 56, 50, 101, 51, 51, 49, 52, 56, 53, 55, 97, 52, 48, 97, 99, 55, 52, 100, 102, 52, 51, 101, 102, 100], 'round': 15, 'parent_id': [53, 52, 51, 101, 99, 57, 53, 102, 52, 100, 54, 98, 57, 49, 52, 102, 51, 99, 48, 48, 55, 100, 100, 56, 51, 54, 55, 48, 50, 51, 48, 54, 52, 50, 48, 50, 49, 100, 101, 99, 101, 51, 48, 57, 49, 98, 101, 57, 54, 55, 51, 49, 101, 50, 54, 49, 100, 100, 101, 48, 100, 97, 52, 56], 'parent_round': 14, 'exec_state_id': [56, 102, 57, 56, 55, 49, 97, 52, 54, 57, 101, 54, 48, 101, 55, 48, 102, 54, 48, 100, 101, 56, 54, 99, 100, 51, 48, 51, 97, 97, 56, 100, 57, 48, 100, 97, 99, 100, 101, 56, 97, 53, 99, 101, 99, 97, 54, 55, 53, 48, 55, 99, 97, 57, 98, 54, 101, 99, 102, 51, 50, 97, 100, 48]}, 'ledger_commit_info': {'commit_state_id': [100, 57, 57, 101, 57, 97, 98, 100, 49, 51, 101, 100, 99, 56, 51, 53, 54, 57, 101, 53, 55, 98, 98, 100, 97, 101, 55, 98, 51, 55, 100, 50, 99, 56, 100, 49, 49, 54, 53, 57, 99, 49, 49, 54, 97, 57, 55, 99, 49, 55, 53, 54, 53, 98, 98, 48, 51, 54, 48, 50, 57, 99, 99, 56], 'vote_info_hash': [55, 49, 97, 52, 57, 57, 49, 97, 53, 101, 50, 50, 50, 55, 101, 98, 101, 100, 55, 51, 51, 49, 54, 53, 52, 102, 100, 55, 55, 102, 57, 99, 52, 52, 54, 50, 48, 57, 52, 100, 99, 49, 56, 48, 53, 52, 98, 52, 100, 55, 55, 52, 48, 102, 100, 98, 54, 56, 53, 57, 49, 54, 53, 49]}, 'signatures': [{}, {}, {}, {}, {}], 'author': 0, 'signers': [0, 4, 1, 6, 3], 'author_signature': {}}, 'id': [48, 102, 52, 97, 48, 55, 52, 52, 55, 51, 48, 99, 52, 57, 52, 102, 101, 102, 52, 49, 54, 56, 100, 53, 55, 48, 100, 52, 97, 100, 100, 48, 99, 52, 49, 57, 101, 99, 54, 97, 53, 50, 98, 56, 51, 102, 97, 97, 56, 55, 97, 57, 49, 99, 55, 98, 56, 52, 51, 56, 97, 48, 54, 97], 'author_signature': {}}, 'last_round_tc': None, 'high_commit_qc': {'vote_info': {'id': [99, 100, 50, 102, 52, 100, 101, 102, 50, 57, 99, 49, 50, 50, 99, 51, 48, 100, 51, 99, 55, 49, 55, 57, 48, 101, 50, 48, 50, 51, 56, 54, 98, 55, 102, 57, 97, 55, 52, 102, 56, 50, 101, 51, 51, 49, 52, 56, 53, 55, 97, 52, 48, 97, 99, 55, 52, 100, 102, 52, 51, 101, 102, 100], 'round': 15, 'parent_id': [53, 52, 51, 101, 99, 57, 53, 102, 52, 100, 54, 98, 57, 49, 52, 102, 51, 99, 48, 48, 55, 100, 100, 56, 51, 54, 55, 48, 50, 51, 48, 54, 52, 50, 48, 50, 49, 100, 101, 99, 101, 51, 48, 57, 49, 98, 101, 57, 54, 55, 51, 49, 101, 50, 54, 49, 100, 100, 101, 48, 100, 97, 52, 56], 'parent_round': 14, 'exec_state_id': [56, 102, 57, 56, 55, 49, 97, 52, 54, 57, 101, 54, 48, 101, 55, 48, 102, 54, 48, 100, 101, 56, 54, 99, 100, 51, 48, 51, 97, 97, 56, 100, 57, 48, 100, 97, 99, 100, 101, 56, 97, 53, 99, 101, 99, 97, 54, 55, 53, 48, 55, 99, 97, 57, 98, 54, 101, 99, 102, 51, 50, 97, 100, 48]}, 'ledger_commit_info': {'commit_state_id': [100, 57, 57, 101, 57, 97, 98, 100, 49, 51, 101, 100, 99, 56, 51, 53, 54, 57, 101, 53, 55, 98, 98, 100, 97, 101, 55, 98, 51, 55, 100, 50, 99, 56, 100, 49, 49, 54, 53, 57, 99, 49, 49, 54, 97, 57, 55, 99, 49, 55, 53, 54, 53, 98, 98, 48, 51, 54, 48, 50, 57, 99, 99, 56], 'vote_info_hash': [55, 49, 97, 52, 57, 57, 49, 97, 53, 101, 50, 50, 50, 55, 101, 98, 101, 100, 55, 51, 51, 49, 54, 53, 52, 102, 100, 55, 55, 102, 57, 99, 52, 52, 54, 50, 48, 57, 52, 100, 99, 49, 56, 48, 53, 52, 98, 52, 100, 55, 55, 52, 48, 102, 100, 98, 54, 56, 53, 57, 49, 54, 53, 49]}, 'signatures': [{}, {}, {}, {}, {}], 'author': 0, 'signers': [0, 4, 1, 6, 3], 'author_signature': {}}, 'sender': 0, 'signature': {}}
Timestamp: 2021-11-03 19:12:50.983362 | ProcessId: validator_4 | Action: Verified ProposalMsg signature | Object: True |
Timestamp: 2021-11-03 19:12:50.983626 | ProcessId: validator_4 | Action: Committed blocks to ledger | Object: [b'543ec95f4d6b914f3c007dd83670230642021dece3091be96731e261dde0da48'] |
Timestamp: 2021-11-03 19:12:50.984231 | ProcessId: validator_4 | Event: Sent | MsgType: Response | To: client_4 | Msg: {'req_id': '4_4', 'resp_status': 'success'}
Timestamp: 2021-11-03 19:12:50.985780 | ProcessId: validator_4 | Action: Advancing to round due to QC | Object: 16 |
Timestamp: 2021-11-03 19:12:50.988032 | ProcessId: validator_4 | Event: Sent | MsgType: Vote | To: validator_2 | Msg: {'vote_info': {'id': [48, 102, 52, 97, 48, 55, 52, 52, 55, 51, 48, 99, 52, 57, 52, 102, 101, 102, 52, 49, 54, 56, 100, 53, 55, 48, 100, 52, 97, 100, 100, 48, 99, 52, 49, 57, 101, 99, 54, 97, 53, 50, 98, 56, 51, 102, 97, 97, 56, 55, 97, 57, 49, 99, 55, 98, 56, 52, 51, 56, 97, 48, 54, 97], 'round': 16, 'parent_id': [99, 100, 50, 102, 52, 100, 101, 102, 50, 57, 99, 49, 50, 50, 99, 51, 48, 100, 51, 99, 55, 49, 55, 57, 48, 101, 50, 48, 50, 51, 56, 54, 98, 55, 102, 57, 97, 55, 52, 102, 56, 50, 101, 51, 51, 49, 52, 56, 53, 55, 97, 52, 48, 97, 99, 55, 52, 100, 102, 52, 51, 101, 102, 100], 'parent_round': 15, 'exec_state_id': [48, 48, 56, 55, 98, 54, 102, 99, 55, 53, 98, 102, 57, 50, 100, 53, 49, 99, 101, 57, 99, 55, 56, 99, 98, 55, 99, 57, 56, 54, 55, 102, 55, 97, 57, 56, 98, 51, 49, 53, 99, 49, 97, 48, 53, 57, 48, 102, 53, 102, 102, 50, 52, 97, 53, 54, 52, 52, 49, 57, 98, 100, 48, 99]}, 'ledger_commit_info': {'commit_state_id': [56, 102, 57, 56, 55, 49, 97, 52, 54, 57, 101, 54, 48, 101, 55, 48, 102, 54, 48, 100, 101, 56, 54, 99, 100, 51, 48, 51, 97, 97, 56, 100, 57, 48, 100, 97, 99, 100, 101, 56, 97, 53, 99, 101, 99, 97, 54, 55, 53, 48, 55, 99, 97, 57, 98, 54, 101, 99, 102, 51, 50, 97, 100, 48], 'vote_info_hash': [51, 53, 98, 48, 97, 51, 52, 54, 57, 97, 99, 49, 50, 52, 48, 50, 52, 57, 54, 49, 51, 53, 98, 102, 51, 51, 48, 53, 102, 54, 99, 51, 97, 56, 52, 57, 100, 53, 101, 53, 49, 100, 53, 102, 56, 50, 52, 102, 53, 52, 100, 99, 98, 55, 99, 48, 54, 97, 56, 55, 50, 55, 53, 51]}, 'high_commit_qc': {'vote_info': {'id': [99, 100, 50, 102, 52, 100, 101, 102, 50, 57, 99, 49, 50, 50, 99, 51, 48, 100, 51, 99, 55, 49, 55, 57, 48, 101, 50, 48, 50, 51, 56, 54, 98, 55, 102, 57, 97, 55, 52, 102, 56, 50, 101, 51, 51, 49, 52, 56, 53, 55, 97, 52, 48, 97, 99, 55, 52, 100, 102, 52, 51, 101, 102, 100], 'round': 15, 'parent_id': [53, 52, 51, 101, 99, 57, 53, 102, 52, 100, 54, 98, 57, 49, 52, 102, 51, 99, 48, 48, 55, 100, 100, 56, 51, 54, 55, 48, 50, 51, 48, 54, 52, 50, 48, 50, 49, 100, 101, 99, 101, 51, 48, 57, 49, 98, 101, 57, 54, 55, 51, 49, 101, 50, 54, 49, 100, 100, 101, 48, 100, 97, 52, 56], 'parent_round': 14, 'exec_state_id': [56, 102, 57, 56, 55, 49, 97, 52, 54, 57, 101, 54, 48, 101, 55, 48, 102, 54, 48, 100, 101, 56, 54, 99, 100, 51, 48, 51, 97, 97, 56, 100, 57, 48, 100, 97, 99, 100, 101, 56, 97, 53, 99, 101, 99, 97, 54, 55, 53, 48, 55, 99, 97, 57, 98, 54, 101, 99, 102, 51, 50, 97, 100, 48]}, 'ledger_commit_info': {'commit_state_id': [100, 57, 57, 101, 57, 97, 98, 100, 49, 51, 101, 100, 99, 56, 51, 53, 54, 57, 101, 53, 55, 98, 98, 100, 97, 101, 55, 98, 51, 55, 100, 50, 99, 56, 100, 49, 49, 54, 53, 57, 99, 49, 49, 54, 97, 57, 55, 99, 49, 55, 53, 54, 53, 98, 98, 48, 51, 54, 48, 50, 57, 99, 99, 56], 'vote_info_hash': [55, 49, 97, 52, 57, 57, 49, 97, 53, 101, 50, 50, 50, 55, 101, 98, 101, 100, 55, 51, 51, 49, 54, 53, 52, 102, 100, 55, 55, 102, 57, 99, 52, 52, 54, 50, 48, 57, 52, 100, 99, 49, 56, 48, 53, 52, 98, 52, 100, 55, 55, 52, 48, 102, 100, 98, 54, 56, 53, 57, 49, 54, 53, 49]}, 'signatures': [{}, {}, {}, {}, {}], 'author': 0, 'signers': [0, 4, 1, 6, 3], 'author_signature': {}}, 'sender': 4, 'signature': {}}
Timestamp: 2021-11-03 19:12:51.013948 | ProcessId: validator_4 | Event: Received | MsgType: Proposal | From: validator_2 | Msg: {'block': {'author': 2, 'round': 17, 'payload': [{'req_id': '4_6', 'command': '4-6', 'client': [7195121133593815656384532, 1, {}, '', '', '127.0.0.1', [46534, 54109]]}], 'qc': {'vote_info': {'id': [48, 102, 52, 97, 48, 55, 52, 52, 55, 51, 48, 99, 52, 57, 52, 102, 101, 102, 52, 49, 54, 56, 100, 53, 55, 48, 100, 52, 97, 100, 100, 48, 99, 52, 49, 57, 101, 99, 54, 97, 53, 50, 98, 56, 51, 102, 97, 97, 56, 55, 97, 57, 49, 99, 55, 98, 56, 52, 51, 56, 97, 48, 54, 97], 'round': 16, 'parent_id': [99, 100, 50, 102, 52, 100, 101, 102, 50, 57, 99, 49, 50, 50, 99, 51, 48, 100, 51, 99, 55, 49, 55, 57, 48, 101, 50, 48, 50, 51, 56, 54, 98, 55, 102, 57, 97, 55, 52, 102, 56, 50, 101, 51, 51, 49, 52, 56, 53, 55, 97, 52, 48, 97, 99, 55, 52, 100, 102, 52, 51, 101, 102, 100], 'parent_round': 15, 'exec_state_id': [48, 48, 56, 55, 98, 54, 102, 99, 55, 53, 98, 102, 57, 50, 100, 53, 49, 99, 101, 57, 99, 55, 56, 99, 98, 55, 99, 57, 56, 54, 55, 102, 55, 97, 57, 56, 98, 51, 49, 53, 99, 49, 97, 48, 53, 57, 48, 102, 53, 102, 102, 50, 52, 97, 53, 54, 52, 52, 49, 57, 98, 100, 48, 99]}, 'ledger_commit_info': {'commit_state_id': [56, 102, 57, 56, 55, 49, 97, 52, 54, 57, 101, 54, 48, 101, 55, 48, 102, 54, 48, 100, 101, 56, 54, 99, 100, 51, 48, 51, 97, 97, 56, 100, 57, 48, 100, 97, 99, 100, 101, 56, 97, 53, 99, 101, 99, 97, 54, 55, 53, 48, 55, 99, 97, 57, 98, 54, 101, 99, 102, 51, 50, 97, 100, 48], 'vote_info_hash': [51, 53, 98, 48, 97, 51, 52, 54, 57, 97, 99, 49, 50, 52, 48, 50, 52, 57, 54, 49, 51, 53, 98, 102, 51, 51, 48, 53, 102, 54, 99, 51, 97, 56, 52, 57, 100, 53, 101, 53, 49, 100, 53, 102, 56, 50, 52, 102, 53, 52, 100, 99, 98, 55, 99, 48, 54, 97, 56, 55, 50, 55, 53, 51]}, 'signatures': [{}, {}, {}, {}, {}], 'author': 2, 'signers': [5, 1, 4, 3, 0], 'author_signature': {}}, 'id': [50, 99, 100, 99, 54, 99, 54, 50, 50, 101, 53, 51, 101, 48, 99, 102, 52, 97, 48, 99, 55, 53, 51, 52, 102, 97, 56, 97, 55, 51, 57, 51, 98, 97, 101, 56, 57, 56, 50, 48, 50, 48, 49, 98, 54, 57, 48, 51, 100, 48, 55, 55, 102, 53, 99, 100, 49, 57, 48, 49, 51, 48, 100, 51], 'author_signature': {}}, 'last_round_tc': None, 'high_commit_qc': {'vote_info': {'id': [48, 102, 52, 97, 48, 55, 52, 52, 55, 51, 48, 99, 52, 57, 52, 102, 101, 102, 52, 49, 54, 56, 100, 53, 55, 48, 100, 52, 97, 100, 100, 48, 99, 52, 49, 57, 101, 99, 54, 97, 53, 50, 98, 56, 51, 102, 97, 97, 56, 55, 97, 57, 49, 99, 55, 98, 56, 52, 51, 56, 97, 48, 54, 97], 'round': 16, 'parent_id': [99, 100, 50, 102, 52, 100, 101, 102, 50, 57, 99, 49, 50, 50, 99, 51, 48, 100, 51, 99, 55, 49, 55, 57, 48, 101, 50, 48, 50, 51, 56, 54, 98, 55, 102, 57, 97, 55, 52, 102, 56, 50, 101, 51, 51, 49, 52, 56, 53, 55, 97, 52, 48, 97, 99, 55, 52, 100, 102, 52, 51, 101, 102, 100], 'parent_round': 15, 'exec_state_id': [48, 48, 56, 55, 98, 54, 102, 99, 55, 53, 98, 102, 57, 50, 100, 53, 49, 99, 101, 57, 99, 55, 56, 99, 98, 55, 99, 57, 56, 54, 55, 102, 55, 97, 57, 56, 98, 51, 49, 53, 99, 49, 97, 48, 53, 57, 48, 102, 53, 102, 102, 50, 52, 97, 53, 54, 52, 52, 49, 57, 98, 100, 48, 99]}, 'ledger_commit_info': {'commit_state_id': [56, 102, 57, 56, 55, 49, 97, 52, 54, 57, 101, 54, 48, 101, 55, 48, 102, 54, 48, 100, 101, 56, 54, 99, 100, 51, 48, 51, 97, 97, 56, 100, 57, 48, 100, 97, 99, 100, 101, 56, 97, 53, 99, 101, 99, 97, 54, 55, 53, 48, 55, 99, 97, 57, 98, 54, 101, 99, 102, 51, 50, 97, 100, 48], 'vote_info_hash': [51, 53, 98, 48, 97, 51, 52, 54, 57, 97, 99, 49, 50, 52, 48, 50, 52, 57, 54, 49, 51, 53, 98, 102, 51, 51, 48, 53, 102, 54, 99, 51, 97, 56, 52, 57, 100, 53, 101, 53, 49, 100, 53, 102, 56, 50, 52, 102, 53, 52, 100, 99, 98, 55, 99, 48, 54, 97, 56, 55, 50, 55, 53, 51]}, 'signatures': [{}, {}, {}, {}, {}], 'author': 2, 'signers': [5, 1, 4, 3, 0], 'author_signature': {}}, 'sender': 2, 'signature': {}}
Timestamp: 2021-11-03 19:12:51.014495 | ProcessId: validator_4 | Action: Verified ProposalMsg signature | Object: True |
Timestamp: 2021-11-03 19:12:51.015832 | ProcessId: validator_4 | Action: Committed blocks to ledger | Object: [b'cd2f4def29c122c30d3c71790e202386b7f9a74f82e3314857a40ac74df43efd'] |
Timestamp: 2021-11-03 19:12:51.016262 | ProcessId: validator_4 | Event: Sent | MsgType: Response | To: client_1 | Msg: {'req_id': '1_1', 'resp_status': 'success'}
Timestamp: 2021-11-03 19:12:51.018978 | ProcessId: validator_4 | Action: Advancing to round due to QC | Object: 17 |
